id,depFlight_id,depFlight_origin.name,depFlight_origin.displayCode,depFlight_destination.name,depFlight_destination.displayCode,depFlight_durationInMinutes,depFlight_departure,depFlight_arrival,depFlight_name,depFlight_flightNumber,booking_agent,is_carrier,rating_status,rating,rating_breakdown.reliable_prices,rating_breakdown.clear_extra_fees,rating_breakdown.customer_service,rating_breakdown.ease_of_booking,rating_breakdown.other,price_amount
13542-2306021540--32356-0-11493-2306021915,13542-2306021540--32356-0-11493-2306021915,London Gatwick,LGW,Rome Fiumicino,FCO,155,2023-06-02T15:40:00,2023-06-02T19:15:00,easyJet,8327,easyJet,True,available,4.55,4.844676,4.7277,5.0,4.7161,3.903392,109.99
13542-2306021505--32480-0-11493-2306021840,13542-2306021505--32480-0-11493-2306021840,London Gatwick,LGW,Rome Fiumicino,FCO,155,2023-06-02T15:05:00,2023-06-02T18:40:00,British Airways,8053,travelup,False,available,3.58,3.70664,4.350472,4.92104,3.854892,2.47192,173.15
13542-2306020930--31685-0-11493-2306021310,13542-2306020930--31685-0-11493-2306021310,London Gatwick,LGW,Rome Fiumicino,FCO,160,2023-06-02T09:30:00,2023-06-02T13:10:00,Vueling Airlines,6229,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,116.8
13554-2306021150--32480-0-11493-2306021525,13554-2306021150--32480-0-11493-2306021525,London Heathrow,LHR,Rome Fiumicino,FCO,155,2023-06-02T11:50:00,2023-06-02T15:25:00,British Airways,560,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,338.18
13542-2306022050--31685-0-11493-2306030015,13542-2306022050--31685-0-11493-2306030015,London Gatwick,LGW,Rome Fiumicino,FCO,145,2023-06-02T20:50:00,2023-06-03T00:15:00,Vueling Airlines,6227,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,85.4
16574-2306021745--31915-0-10525-2306022110,16574-2306021745--31915-0-10525-2306022110,London Stansted,STN,Rome Ciampino,CIA,145,2023-06-02T17:45:00,2023-06-02T21:10:00,Ryanair,3002,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,79.0
13542-2306021100--30596-0-11493-2306021435,13542-2306021100--30596-0-11493-2306021435,London Gatwick,LGW,Rome Fiumicino,FCO,155,2023-06-02T11:00:00,2023-06-02T14:35:00,Wizz Air Malta,5781,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,59.0
16574-2306020615--31915-0-10525-2306020940,16574-2306020615--31915-0-10525-2306020940,London Stansted,STN,Rome Ciampino,CIA,145,2023-06-02T06:15:00,2023-06-02T09:40:00,Ryanair,2455,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,78.09
16574-2306020700--32174-0-11493-2306021020,16574-2306020700--32174-0-11493-2306021020,London Stansted,STN,Rome Fiumicino,FCO,140,2023-06-02T07:00:00,2023-06-02T10:20:00,Jet2,1543,Jet2,True,available,3.56,4.416228,4.251572,5.0,3.899812,1.691956,90.0
16574-2306020840--31915-0-10525-2306021205,16574-2306020840--31915-0-10525-2306021205,London Stansted,STN,Rome Ciampino,CIA,145,2023-06-02T08:40:00,2023-06-02T12:05:00,Ryanair,2510,Trip.com,False,available,3.97,3.926652,4.503032,4.991876,4.365064,3.108212,78.09
